日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2018/4/26",外資及陸資,302905,205448,298953,207107,3952,-1659,249451,130614,237144,76701,12307,53914
"2018/4/27",自營商,291278,44598,281153,43463,10125,1135,281350,22608,338255,40504,-56905,-17896
"2018/4/27",投信,530,1119,1553,211,-1023,908,5479,5350,35791,63827,-30312,-58477
"2018/4/27",外資及陸資,242508,157578,232510,147295,9998,10283,236246,134413,213980,69709,22266,64704
"2018/4/30",自營商,351499,50663,330545,49307,20954,1356,311981,24826,347680,41524,-35699,-16698
"2018/4/30",投信,874,1842,230,106,644,1736,5548,5523,35216,62777,-29668,-57254
"2018/4/30",外資及陸資,243193,152382,246302,155899,-3109,-3517,251117,133699,231963,71940,19154,61759
"2018/5/2",自營商,373897,44891,376964,41754,-3067,3137,252910,24751,314975,38265,-62065,-13514
"2018/5/2",投信,924,1193,533,227,391,966,5569,5581,33846,61627,-28277,-56046
"2018/5/2",外資及陸資,213735,123465,207554,124026,6181,-561,250113,135946,224008,74958,26105,60989
"2018/5/3",自營商,278637,47779,293077,50359,-14440,-2580,279725,26499,356227,42463,-76502,-15964
"2018/5/3",投信,395,641,273,393,122,248,5543,5472,33698,60716,-28155,-55244
"2018/5/3",外資及陸資,219472,160055,226356,167772,-6884,-7717,258819,132063,239571,79349,19248,52714
"2018/5/4",自營商,303195,51782,308613,49261,-5418,2521,291756,25595,374076,39085,-82320,-13490
"2018/5/4",投信,160,251,55,26,105,225,5588,5578,33638,60688,-28050,-55110
"2018/5/4",外資及陸資,257822,179614,257801,179436,21,178,261305,125138,234906,72138,26399,53001
"2018/5/7",自營商,342986,57776,343669,54363,-683,3413,298643,27763,381529,37963,-82886,-10200
"2018/5/7",投信,632,1339,60,127,572,1212,5623,5695,33101,59967,-27478,-54272
"2018/5/7",外資及陸資,235862,151878,236942,155728,-1080,-3850,266756,126216,241447,76678,25309,49538
"2018/5/8",自營商,377352,46800,350072,45040,27280,1760,331851,30840,387285,39381,-55434,-8541
"2018/5/8",投信,360,768,24,51,336,717,5658,5814,32800,59746,-27142,-53932
"2018/5/8",外資及陸資,204685,131111,190319,115308,14366,15803,282928,136588,243263,70855,39665,65732
"2018/5/9",自營商,535874,56051,513050,54707,22824,1344,275946,31682,334189,38941,-58243,-7259
"2018/5/9",投信,1167,872,864,294,303,578,5281,5837,32120,59375,-26839,-53538
"2018/5/9",外資及陸資,240799,152883,231980,142667,8819,10216,283718,143133,236361,66916,47357,76217
"2018/5/10",自營商,230376,46636,226129,42422,4247,4214,295041,37563,348994,40627,-53953,-3063
